time_real_s;onboard_time;ptank_bar;pc_bar;source
-19.996;639;61.37;0.62;onboard
-19.588;639.1;61.38;0.59;onboard
-19.18;639.2;61.36;0.64;onboard
-18.772;639.3;61.53;0.68;onboard
-18.364;639.4;61.42;0.66;onboard
-17.956;639.5;61.38;0.6;onboard
-17.548;639.6;61.42;0.57;onboard
-17.14;639.7;61.42;0.59;onboard
-16.732;639.8;61.41;0.67;onboard
-16.324;639.9;61.4;0.63;onboard
-15.915;640;61.42;0.66;onboard
-15.507;640.1;61.57;0.6;onboard
-15.099;640.2;61.56;0.72;onboard
-14.691;640.3;61.4;0.61;onboard
-14.283;640.4;61.48;0.62;onboard
-13.875;640.5;61.5;0.64;onboard
-13.467;640.6;61.45;0.61;onboard
-13.059;640.7;61.44;0.67;onboard
-12.651;640.8;61.43;0.62;onboard
-12.243;640.9;61.55;0.68;onboard
-11.835;641;61.55;0.58;onboard
-11.426;641.1;61.54;0.61;onboard
-11.018;641.2;61.64;0.59;onboard
-10.61;641.3;61.62;0.64;onboard
-10.202;641.4;61.51;0.62;onboard
-9.794;641.5;61.55;0.75;onboard
-9.386;641.6;61.53;0.59;onboard
-8.978;641.7;61.54;0.65;onboard
-8.57;641.8;61.49;0.56;onboard
-8.162;641.9;61.57;0.64;onboard
-7.754;642;61.51;0.6;onboard
-7.346;642.1;61.56;0.64;onboard
-6.938;642.2;61.57;0.63;onboard
-6.529;642.3;61.62;0.59;onboard
-6.121;642.4;61.63;0.65;onboard
-5.713;642.5;61.51;0.7;onboard
-5.305;642.6;61.59;0.63;onboard
-4.897;642.7;61.66;0.66;onboard
-4.489;642.8;61.49;0.64;onboard
-4.081;642.9;61.67;0.57;onboard
-3.673;643;61.53;0.67;onboard
-3.265;643.1;61.57;0.67;onboard
-2.857;643.2;61.64;0.57;onboard
-2.449;643.3;61.63;0.64;onboard
-2.04;643.4;61.53;0.56;onboard
-1.632;643.5;61.49;0.61;onboard
-1.224;643.6;61.6;0.65;onboard
-0.816;643.7;61.63;0.62;onboard
-0.408;643.8;61.62;0.68;onboard
0;643.9;61.53;0.6;onboard
0.408;644;55.38;33.7;both
0.816;644.1;52.96;30.09;both
1.224;644.2;52.79;29.87;both
1.632;644.3;52.52;30.44;both
2.04;644.4;51.75;31.45;both
2.449;644.5;51;31.5;both
2.857;644.6;50.21;30.09;both
3.265;644.7;49.49;27.62;both
3.673;644.8;48.72;27.27;both
4.081;644.9;48.05;25.94;both
4.489;645;47.24;25.33;both
4.897;645.1;46.43;24.79;both
5.305;645.2;45.75;24.74;both
5.713;645.3;44.93;24.48;both
6.121;645.4;44.1;23.9;both
6.529;645.5;43.33;23.77;both
6.938;645.6;42.6;23.34;both
7.346;645.7;41.83;22.77;both
7.754;645.8;40.95;22.36;onboard
8.162;645.9;39.85;18.27;onboard
8.57;646;38.22;15.17;onboard
8.978;646.1;36.35;13.23;onboard
9.386;646.2;34.54;12.39;onboard
9.794;646.3;32.73;11.44;onboard
10.202;646.4;31.05;11.31;onboard
10.61;646.5;29.47;10.71;onboard
11.018;646.6;27.84;9.33;onboard
11.426;646.7;26.24;8.8;onboard
11.835;646.8;24.87;8.35;onboard
12.243;646.9;23.41;7.78;onboard
12.651;647;22.19;7.26;onboard
13.059;647.1;20.91;6.8;onboard
13.467;647.2;19.89;6.28;onboard
13.875;647.3;19.02;6.12;onboard
14.283;647.4;17.95;5.7;onboard
14.691;647.5;17.04;5.34;onboard
15.099;647.6;16.19;5.19;onboard
15.507;647.7;15.45;4.88;onboard
15.915;647.8;14.87;4.59;onboard
16.324;647.9;14.04;4.4;onboard
16.732;648;13.5;4.16;onboard
17.14;648.1;12.94;3.98;onboard
17.548;648.2;12.39;3.81;onboard
17.956;648.3;11.78;3.52;onboard
18.364;648.4;11.27;3.43;onboard
18.772;648.5;10.74;3.24;onboard
19.18;648.6;10.33;3.06;onboard
19.588;648.7;9.87;2.94;onboard
19.996;648.8;9.5;2.81;onboard
20.404;648.9;9.17;2.64;onboard
20.813;649;8.61;2.49;onboard
21.221;649.1;8.4;2.4;onboard
21.629;649.2;7.92;2.26;onboard
22.037;649.3;7.69;2.09;onboard
22.445;649.4;7.32;2.02;onboard
22.853;649.5;7.04;1.94;onboard
23.261;649.6;6.82;1.77;onboard
23.669;649.7;6.43;0.28;onboard
24.077;649.8;6.38;0.28;onboard
24.485;649.9;6.4;0.24;onboard
24.893;650;6.43;0.2;onboard
25.302;650.1;6.12;0.27;onboard
25.71;650.2;5.8;0.28;onboard
26.118;650.3;5.74;0.2;onboard
26.526;650.4;5.38;0.35;onboard
26.934;650.5;5.11;0.26;onboard
27.342;650.6;4.76;0.31;onboard
27.75;650.7;4.48;0.31;onboard
28.158;650.8;4.02;0.27;onboard
28.566;650.9;3.92;0.27;onboard
28.974;651;3.5;0.27;onboard
29.382;651.1;3.25;0.33;onboard
29.79;651.2;3.01;0.25;onboard
30.199;651.3;2.86;0.21;onboard
30.607;651.4;2.54;0.34;onboard
31.015;651.5;2.29;0.31;onboard
31.423;651.6;2.1;0.36;onboard
31.831;651.7;1.99;0.36;onboard
32.239;651.8;1.84;0.29;onboard
32.647;651.9;1.68;0.24;onboard
