time_s,thrust_N,chamber_pressure_bar,tank_pressure_bar
0.0000,0.000,4.629,57.431
0.0047,4.170,4.629,57.431
0.0147,13.811,6.915,56.821
0.0247,33.751,9.724,56.056
0.0347,61.936,12.967,55.118
0.0447,101.646,16.535,54.032
0.0547,149.850,20.271,52.913
0.0647,206.979,24.287,51.825
0.0747,272.566,28.333,50.764
0.0847,340.724,31.660,49.850
0.0947,413.255,34.029,49.125
0.1047,478.802,35.578,48.534
0.1147,529.018,36.051,48.108
0.1247,557.007,35.988,47.850
0.1347,573.809,35.761,47.707
0.1447,574.916,35.293,47.628
0.1547,569.327,34.739,47.608
0.1647,558.915,34.254,47.567
0.1747,548.323,33.508,47.493
0.1847,537.536,32.935,47.399
0.1947,524.704,32.588,47.297
0.2047,513.938,32.141,47.195
0.2147,505.762,31.930,47.100
0.2247,497.843,31.747,47.028
0.2347,492.422,31.493,46.974
0.2447,488.910,31.156,46.917
0.2547,484.797,30.965,46.825
0.2647,480.615,30.702,46.654
0.2747,477.738,30.259,46.395
0.2847,473.657,29.725,46.071
0.2947,466.301,29.477,45.709
0.3047,458.469,29.270,45.358
0.3147,453.685,29.103,45.077
0.3247,450.272,29.039,44.884
0.3347,446.991,29.072,44.768
0.3447,445.864,29.242,44.708
0.3547,445.688,29.333,44.672
0.3647,447.165,29.414,44.648
0.3747,449.327,29.384,44.625
0.3847,450.307,29.459,44.596
0.3947,450.159,29.378,44.571
0.4047,450.250,29.242,44.537
0.4147,449.041,29.200,44.503
0.4247,446.601,29.136,44.464
0.4347,445.597,28.952,44.420
0.4447,444.455,28.897,44.366
0.4547,442.296,29.092,44.313
0.4647,441.099,28.843,44.257
0.4747,440.693,28.885,44.206
0.4847,436.907,29.279,44.160
0.4947,435.928,29.156,44.117
0.5047,437.891,28.741,44.082
0.5147,436.508,28.599,44.050
0.5247,433.252,28.474,44.014
0.5347,432.468,28.373,43.975
0.5447,431.035,28.391,43.940
0.5547,430.482,28.709,43.902
0.5647,432.205,29.030,43.866
0.5747,435.571,29.181,43.837
0.5847,439.814,29.231,43.816
0.5947,443.235,29.226,43.794
0.6047,445.140,29.244,43.780
0.6147,443.873,29.353,43.770
0.6247,443.311,29.231,43.767
0.6347,443.296,28.861,43.767
0.6447,441.787,28.958,43.772
0.6547,438.084,29.090,43.781
0.6647,438.940,28.879,43.786
0.6747,441.332,29.296,43.797
0.6847,442.641,29.505,43.810
0.6947,447.860,29.543,43.819
0.7047,451.746,29.622,43.830
0.7147,453.502,29.642,43.847
0.7247,453.761,29.289,43.861
0.7347,452.189,29.114,43.880
0.7447,445.846,29.237,43.901
0.7547,441.305,29.272,43.914
0.7647,439.998,29.328,43.931
0.7747,441.075,29.822,43.949
0.7847,444.113,30.130,43.961
0.7947,451.871,29.927,43.979
0.8047,458.062,29.607,44.001
0.8147,458.910,29.566,44.015
0.8247,456.643,29.398,44.028
0.8347,453.873,29.731,44.036
0.8447,451.106,29.966,44.040
0.8547,453.009,30.112,44.049
