time_ms,tank_pressure_bar,chamber_pressure_bar,thrust_daN
9.9,61.349,0.05,0.332
29.9,61.331,0.055,0.331
49.9,61.34,0.052,0.33
69.9,61.349,0.056,0.33
89.9,61.349,0.052,0.332
109.9,61.348,0.053,0.33
129.9,61.344,0.053,0.33
149.9,61.343,0.052,0.331
169.9,61.336,0.046,0.33
189.9,61.349,0.054,0.332
209.9,61.349,0.058,0.333
229.9,61.351,0.048,0.332
249.9,61.335,0.054,0.331
269.9,61.333,0.052,0.333
289.9,61.366,0.052,0.33
309.9,61.338,0.052,0.331
329.9,61.323,0.055,0.331
349.9,61.349,0.048,0.332
369.9,61.363,0.048,0.333
389.9,61.345,0.057,0.331
409.9,61.348,0.055,0.332
429.9,61.32,0.053,0.332
449.9,61.372,0.045,0.332
469.9,61.344,0.053,0.333
489.9,61.359,0.056,0.333
509.9,61.337,0.054,0.333
529.9,61.347,0.051,0.332
549.9,61.324,0.052,0.334
569.9,61.343,0.052,0.328
589.9,61.348,0.051,0.333
609.9,61.356,0.052,0.332
629.9,61.332,0.054,0.332
649.9,61.329,0.052,0.332
669.9,61.326,0.049,0.333
689.9,61.348,0.052,0.33
709.9,61.344,0.053,0.328
729.9,61.344,0.056,0.331
749.9,61.347,0.051,0.334
769.9,61.339,0.05,0.329
789.9,61.348,0.05,0.332
809.9,61.345,0.056,0.33
829.9,61.337,0.054,0.331
849.9,61.325,0.05,0.328
869.9,61.358,0.055,0.33
889.9,61.343,0.057,0.331
909.9,61.356,0.05,0.33
929.9,61.346,0.049,0.334
949.9,61.339,0.054,0.33
969.9,61.35,0.049,0.332
989.9,61.326,0.055,0.329
1009.9,61.358,0.051,0.33
1029.9,61.348,0.05,0.328
1049.9,61.335,0.055,0.33
1069.9,61.333,0.054,0.332
1089.9,61.338,0.05,0.329
1109.9,61.342,0.049,0.333
1129.9,61.335,0.053,0.33
1149.9,61.364,0.05,0.331
1169.9,61.369,0.052,0.332
1189.9,61.337,0.054,0.331
1209.9,61.331,0.052,0.329
1229.9,61.341,0.052,0.331
1249.9,61.338,0.054,0.332
1269.9,61.334,0.054,0.329
1289.9,61.352,0.046,0.332
1309.9,61.32,0.052,0.331
1329.9,61.342,0.051,0.333
1349.9,61.343,0.051,0.333
1369.9,61.37,0.053,0.333
1389.9,61.347,0.054,0.333
1409.9,61.352,0.054,0.33
1429.9,61.35,0.054,0.333
1449.9,61.345,0.054,0.331
1469.9,61.351,0.054,0.334
1489.9,61.341,0.053,0.332
1509.9,61.343,0.05,0.334
1529.9,61.334,0.054,0.333
1549.9,61.35,0.048,0.332
