time_ms,status,altitude_m,speed_ms,accel_ms2
38436,3,0,0,0
38456,3,0,0,0
38476,3,0,0,0
38496,3,0,0,0
38516,3,0,0,0
38536,3,0,0,0
38556,3,0,0,0
38576,3,0,0,0
38596,3,0,0,0
38616,3,0,0,0
38636,3,0,0,0
38656,3,0,0,0
38676,3,0,0,0
38696,3,0,0,0
38716,3,0,0,0
38736,3,0,0,0
38756,3,0,0,0
38776,3,0,0,0
38796,3,0,0,0
38816,3,0,0,0
38836,3,0,0,0
38856,3,0,0,0
38876,3,0,0,0
38896,3,0,0,0
38916,3,0,0,0
38936,3,0,0,0
38956,3,0,0,0
38976,3,0,0,0
38996,3,0,0,0
39016,3,0,0,0
39036,3,0,0,0
39056,4,0,0,0
39124,4,0,1,24.8
39144,4,0,2,36.8
39164,4,0,2,28.3
39184,4,0,3,34.9
39204,4,0,4,32.7
39224,4,0,5,34.7
39244,4,0,5,32.6
39264,4,1,6,29.1
39284,4,1,6,28
39304,4,1,7,31.6
39324,4,1,8,30
39344,4,1,8,30.8
39364,4,1,9,28.1
39384,4,2,9,34.2
39404,4,2,10,31
39424,4,2,11,27.5
39444,4,2,11,18.6
39464,4,2,11,25.4
39484,4,3,12,22.3
39504,4,3,12,23.9
39524,4,3,13,15.9
39544,4,3,14,42.4
39564,4,3,14,27.8
39584,4,3,15,21
39604,4,4,15,30.3
39624,4,4,16,21.7
39644,4,4,16,22
39664,4,4,17,30.8
39684,4,5,17,31.7
39704,4,5,18,31
39724,4,5,19,34.3
39744,4,5,19,27.4
39764,4,6,20,29.7
39784,4,6,20,31.7
39804,4,6,21,24.1
39824,4,7,21,27.2
39844,4,7,22,21.2
39864,4,7,22,34.6
39884,4,8,23,27.7
39904,4,8,24,35.9
39924,4,8,24,21.6
39944,4,9,25,36.1
39964,4,9,26,30.7
39984,4,9,26,24.7
40004,4,9,26,22.1
40024,4,10,27,35.3
40044,4,10,28,23
40064,4,10,28,27
40084,4,11,29,34.5
40104,4,11,30,37.8
40124,4,12,30,27.1
40144,4,12,31,30.7
40164,4,12,31,31.2
40184,4,13,32,14.6
40204,4,13,32,38.6
40224,4,14,33,32.3
40244,4,14,34,46.9
40264,4,15,35,32
40284,4,15,36,53
40304,4,16,37,47.1
40324,4,16,38,43.2
40344,4,16,38,26.7
40364,4,17,39,41.2
40384,4,17,40,52.9
